ID,CODCLI,NOMCLI,TITULAR,ARCHIVO,MOTIVO,MARCA,CLASE,CERTIFICADO,VENCIMIENTO,OBSERVACIONES,EXPEDIENTE
1,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,,,360°,25,91130,22.08.2023 ,,
2,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,,,DULCE VIÑEDO,33,108810,14.09.2025,,
3,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,,,360º ADVENTURE,25,114959,31.03.2026,,
4,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,,,360º ADVENTURE,11,107755,05.08.2025,,
5,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,,,360º ADVENTURE,18,107854,09.08.2025,,
6,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,,,360º ADVENTURE,22,107756,05.08.2025,,
7,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,,,BABY CAT,25,107852,09.08.2025,,
8,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,,,BABY CAT,28,107853,09.08.2025,,
9,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,240792.JPG,,,3,240792,29.08.2026,,
10,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,240793.JPG,,,3,240793,29.08.2026,,
11,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,240794.JPG,,,3,240794,29.08.2026,,
12,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,240774.JPG,,,3,240774,26.08.2026,,
13,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,240795.JPG,,,3,240795,29.08.2026,,
14,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,108523.JPG,,,3,108523,01.09.2025,,
15,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,108525.JPG,,,16,108525,01.09.2025,,
16,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,108526.JPG,,,21,108526,01.09.2025,,
17,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,108524.JPG,,,29,108524,01.09.2025,,
18,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,108527.JPG,,,30,108527,01.09.2025,,
19,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,,,360º BIKES,12,121465,10.10.2016,,
20,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,,,360º REFLEX,25,114958,31.03.2026,,
21,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,227634.JPG,,,18,227634,23.01.2025,,
22,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123091.JPG,,,21,123091,22.11.2016,,
23,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123090.JPG,,,22,123090,22.11.2016,,
24,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123094.JPG,,,11,123094,22.11.2016,,
25,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123092.JPG,,,19,123092,22.11.2016,,
26,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123093.JPG,,,17,123093,22.11.2016,,
27,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123095.JPG,,,8,123095,22.11.2016,,
28,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123097.JPG,,,5,123097,22.11.2016,,
29,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123096.JPG,,,6,123096,22.11.2016,,
30,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123089.JPG,,,34,123089,22.11.2016,,
31,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123088.JPG,,,4,123088,22.11.2016,,
32,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123087.JPG,,,2,123087,22.11.2016,,
33,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,128568.JPG,,,3,128568,27.06.2017,,
34,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,116730.JPG,,,29,116730,28.06.2016,,
35,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,116580.JPG,,,30,116580,26.06.2016,,
36,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126966.JPG,,,2,126966,07.05.2017,,
37,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127195.JPG,,,3,127195,14.05.2017,,
38,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126970.JPG,,,8,126970,07.05.2017,,
39,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126969.JPG,,,6,126969,07.05.2017,,
40,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126968.JPG,,,5,126968,07.05.2017,,
41,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126967.JPG,,,4,126967,07.05.2017,,
42,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126972.JPG,,,14,126972,07.05.2017,,
43,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127110.JPG,,,12,127110,10.05.2017,,
44,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126971.JPG,,,11,126971,07.05.2017,,
45,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127196.JPG,,,9,127196,14.05.2017,,
46,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126975.JPG,,,18,126975,07.05.2017,,
47,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126974.JPG,,,17,126974,07.05.2017,,
48,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126973.JPG,,,16,126973,07.05.2017,,
49,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127198.JPG,,,25,127198,14.05.2017,,
50,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127197.JPG,,,24,127197,14.05.2017,,
51,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126979.JPG,,,22,126979,07.05.2017,,
52,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126978.JPG,,,21,126978,07.05.2017,,
53,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126977.JPG,,,20,126977,07.05.2017,,
54,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126976.JPG,,,19,126976,07.05.2017,,
55,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127112.JPG,,,30,127112,10.05.2017,,
56,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127111.JPG,,,29,127111,11.05.2017,,
57,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126980.JPG,,,28,126980,04.05.2017,,
58,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127200.JPG,,,27,127200,14.05.2017,,
59,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127199.JPG,,,26,127199,14.05.2017,,
60,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,46087.JPG,,,43,46087,07.05.2017,,
61,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,46086.JPG,,,39,46086,07.05.2017,,
62,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,46085.JPG,,,38,46085,07.05.2017,,
63,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,46084.JPG,,,36,46084,07.05.2017,,
64,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,46083.JPG,,,35,46083,07.05.2017,,
65,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126981.JPG,,,34,126981,07.05.2017,,
66,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127115.JPG,,,33,127115,10.05.2017,,
67,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127114.JPG,,,32,127114,10.05.2017,,
68,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127113.JPG,,,31,127113,10.05.2017,,
69,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,152814.JPG,,,29,152814,22.05.2019,,
70,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,152815.JPG,,,30,152815,22.05.2019,,
71,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,152816.JPG,,,31,152816,22.05.2019,,
72,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,152817.JPG,,,32,152817,22.05.2019,,
73,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,152818.JPG,,,33,152818,22.05.2019,,
74,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,152819.JPG,,,29,152819,22.05.2019,,
75,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,154554.JPG,,,30,154554,30.06.2019,,
76,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,152820.JPG,,,31,152820,22.05.2019,,
77,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,152821.JPG,,,32,152821,22.05.2019,,
78,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,152822.JPG,,,33,152822,22.05.2019,,
79,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,72.JPG,,,"29, 30, 31, 32 , 33",72,14.07.2019,,
80,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,167158.JPG,,,30,167158,18.08.2020,,
81,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,162434.JPG,,,32,162434,22.03.2020,,
82,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,1180.JPG,,,"16,29 , 30",1180,06.07.2020,,
83,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,188366.JPG,,,5,188366,05.06.2022,,
84,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,,,SUEÑOS DE BEBÉ,21,166070,16.07.2020,,
85,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,,,SUEÑOS DE BEBÉ,3,166069,16.07.2020,,
86,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,,,SUEÑOS DE BEBÉ,5,165801,09.07.2020,,
87,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,166824.JPG,,,30,166824,11.08.2020,,
88,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,183146.JPG,,,30,183146,28.12.2021,,
89,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,,,LA PANADERÍA TOTTUS,30,182440,09.12.2021,,
90,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,,,AUTODELI,31,174217,22.03.2021,,
91,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,,,AUTODELI,30,174634,05.04.2021,,
92,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,186206.JPG,,,31,186206,17.02.2022,,
93,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,190021.JPG,,,32,190021,26.07.2022,,
94,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,187482.JPG,,,32,187482,04.05.2022,,
95,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,189691.JPG,,,3,189691,16.07.2022,,
96,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,,,HAPPY HOUR,"32, 33 , 35",4602,09.07.2022,,
97,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,,,EL MAÑANERO,"29 , 31",4601,09.07.2022,,
98,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,4371.JPG,,,"29, 30, 31, 32, 33, 35",4371,30.05.2022,,
99,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,189824.JPG,,,3,189824,20.07.2022,,
100,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,5763.JPG,,,"02, 04, 05, 06, 08, 09, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 42, 43",5763,19.03.2023,,
101,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,5889.JPG,,,"05, 29, 30, 32",5889,11.04.2023,,
102,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,6329.JPG,,,"03, 16",6329,11.07.2023,,
103,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,6352.JPG,,,"05, 29, 30, 32",6352,19.07.2023,,
104,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,6353.JPG,,,"05, 29, 30, 32",6353,19.07.2023,,
105,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,,,NUTACREAM TOTTUS,30,201271,07.08.2023,,
106,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,6560.JPG,,,"05, 29, 30, 31, 32, 33",6560,02.09.2023,,
107,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,78550.JPG,,,43,78550,27.09.2023,,
108,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,8826.JPG,,,"02, 03, 04, 06, 08, 09, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 43",8826,01.09.2024,,
109,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,226984.JPG,,,29,226984,09.07.2025,,
110,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,11137.JPG,,,"11, 20, 24, 25, 27",11137,03.07.2025,,
111,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,,,"TOTTUS, QUE RICO ES CRECER SANO","16, 29, 30, 35",10561,13.05.2025,,
112,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,11391.JPG,,,"07,08,09,11",11391,14.10.2024,,
113,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,,,TORKE,6,209688,15.04.2024,,
114,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,,,TORKE,12,96278,15.04.2024,Transferida por Saga Falabella,
115,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,590290.JPG,,,"02, 03, 04, 05, 06, 09, 11, 14, 16, 19, 20, 21, 22, 24, 26, 27, 29, 30, 31, 32, 33, 34, 35, 38, 39, 43",590290,12.06.2025,Pendiente de emisión (Exp. 590290-2014) , 590290-2014 
