ID,CODCLI,NOMCLI,MARCA,CLASE,EXPEDIENTE,ESTADO,CERTIFICADO,VIGENCIA,OBSERVACIONES
1,PROENFAR S.A.S,PRODUCTORES DE ENVASES FARMACEUTICOS S.A.S,127085.JPG,10,,,127085,09.05.2027,
2,PROENFAR S.A.S,PRODUCTORES DE ENVASES FARMACEUTICOS S.A.S,126039.JPG,20,,,126039,09.04.2027,
3,ABACO,COOPERATIVA DE AHORRO Y CREDITO ABACO,99637.JPG,36,,,99637,12.04.2027,
4,ABACO,COOPERATIVA DE AHORRO Y CREDITO ABACO,99715.JPG,36,,,99715,02.05.2027,
5,ABACO,COOPERATIVA DE AHORRO Y CREDITO ABACO,99716.JPG,36,,,99716,02.05.2027,
6,AVIOR AIRLINES C.A.,AVIOR AIRLINES C.A.,99517.JPG,39,,,99517,21.04.2027,
7,AVIOR AIRLINES C.A.,AVIOR AIRLINES C.A.,99518.JPG,39,,,99518,21.04.2027,
8,SANTHERA PHARMACEUTICALS (SHWEIZ) AG,SANTHERA PHARMACEUTICALS (SHWEIZ) AG,710034-2017.JPG,"01, 05, 42",,,710034-2017,,Con fecha 14 de julio de 2017  fuimos notificados con observaciones y exclusiones de oficio realizadas por la Direcci¢n de Signos Distintivos del INDECOPI. Plazo vence 28 de julio.
9,Hipermercados Tottus S.A.  ,Hipermercados Tottus S.A.  ,677650-2016.JPG,29,677650-2016,En tr mite. Ya se ha realizado la publicaci¢n en el Diario Oficial El Peruano. A la fecha  el expediente se encuentra en la etapa de examen de registrabilidad.,,,
10,Hipermercados Tottus S.A.  ,Hipermercados Tottus S.A.  ,677649-2016.JPG,29,677649-2016,En tr mite. Ya se ha realizado la publicaci¢n en el Diario Oficial El Peruano. A la fecha  el expediente se encuentra en la etapa de examen de registrabilidad.,,,
11,Hipermercados Tottus S.A.  ,Hipermercados Tottus S.A.  ,590290-2014.JPG,"08, 17, 18, 36",590290-2014,Interpusimos recurso de apelaci¢n contra la Resoluci¢n Nø 10755-2015/DSD-INDECOPI que deneg¢ de oficio la marca en dichas clases. ,,,La Sala Especializada en Propiedad Intelectual confirm¢ la Resoluci¢n de primera instancia que deneg¢ de oficio el registro de la marca en las clases 08  17  18 y 36. Sin embargo  decidi¢ revocar la referida resoluci¢n en el extremo que deneg¢ el registro de la marca en la clase 42  otorg ndole de tal forma su inscripci¢n en dicha clase.
12,Hipermercados Tottus S.A.  ,Hipermercados Tottus S.A.  ,590290A-2014.JPG,12,590290A-2014,Interpusimos recurso de apelaci¢n contra la Resoluci¢n Nø1467-2015/CSD-INDECOPI que declar¢ fundada la oposici¢n formulada por Fiat Group Automobiles S.P.A. ,,,La Sala Especializada en Propiedad Intelectual confirm¢ la Resoluci¢n de primera instancia que declar¢ fundada la oposici¢n formulada por la empresa Fiat Group Automobiles S.P.A. y deneg¢ el registro de la marca.
13,Hipermercados Tottus S.A.  ,Hipermercados Tottus S.A.  ,590290C-2014.JPG,28,590290C-2014,Interpusimos recurso de apelaci¢n contra la Resoluci¢n Nø 1433-2015/CSD-INDECOPI que declar¢ fundada la oposici¢n formulada por Mattel Inc.,,,La Sala Especializada en Propiedad Intelectual confirm¢ la Resoluci¢n de primera instancia que declar¢ fundada la oposici¢n formulada por la empresa Mattel  Inc. y deneg¢ el registro de la marca.
14,Hipermercados Tottus S.A.  ,Hipermercados Tottus S.A.  ,580740-2014.JPG,"08, 12, 17, 18, 36, 42",580740-2014,Interpusimos recurso de apelaci¢n contra la Resoluci¢n Nø 4641-2015/DSD-INDECOPI que deneg¢ de oficio la marca en dichas clases. ,,,La Sala Especializada en Propiedad Intelectual confirm¢ la Resoluci¢n de primera instancia que deneg¢ el registro de la marca.
15,Hipermercados Tottus S.A.  ,Hipermercados Tottus S.A.  ,580740A-2014.JPG,25,580740A-2014,Interpusimos recurso de apelaci¢n contra la Resoluci¢n Nø 339-2015/CSD-INDECOPI que declar¢ fundada la oposici¢n formulada por Graciela Concepci¢n Guzm n Carranza.,,,La Sala Especializada en Propiedad Intelectual confirm¢ la Resoluci¢n de primera instancia que declar¢ fundada la oposici¢n formulada y deneg¢ el registro de la marca.
16,Hipermercados Tottus S.A.  ,Hipermercados Tottus S.A.  ,580740B-2014.JPG,28,580740B-2014,Interpusimos recurso de apelaci¢n contra la Resoluci¢n Nø 340-2015/CSD-INDECOPI que declar¢ fundada la oposici¢n formulada por Mattel Inc.,,,La Sala Especializada en Propiedad Intelectual confirm¢ la Resoluci¢n de primera instancia que declar¢ fundada la oposici¢n formulada y deneg¢ el registro de la marca.
17,Hipermercados Tottus S.A.  ,Hipermercados Tottus S.A.  ,580739-2014.JPG,"8, 12, 17, 18, 36, 42",580739-2014,Interpusimos recurso de apelaci¢n contra la Resoluci¢n Nø 4640-2015/DSD-INDECOPI que deneg¢ de oficio nuestra marca en dichas clases. ,,,La Sala Especializada en Propiedad Intelectual confirm¢ la Resoluci¢n de primera instancia que deneg¢ de oficio el registro de la marca.
18,Hipermercados Tottus S.A.  ,Hipermercados Tottus S.A.  ,580739A-2014.JPG,25,580739A-2014,Interpusimos recurso de apelaci¢n contra la Resoluci¢n Nø337-2015/CSD-INDECOPI que declar¢ fundada la oposici¢n formulada por Graciela Concepci¢n Guzm n Carranza.,,,La Sala Especializada en Propiedad Intelectual confirm¢ la Resoluci¢n de primera instancia que declar¢ fundada la oposici¢n formulada y deneg¢ el registro de la marca.
19,Hipermercados Tottus S.A.  ,Hipermercados Tottus S.A.  ,580739B-2014.JPG,28,580739B-2014,Interpusimos recurso de apelaci¢n contra la Resoluci¢n Nø 338-2015/CSD-INDECOPI que declar¢ fundada la oposici¢n formulada por Mattel Inc.,,,La Sala Especializada en Propiedad Intelectual confirm¢ la Resoluci¢n de primera instancia que declar¢ fundada la oposici¢n formulada y deneg¢ el registro de la marca.
20,Hipermercados Tottus S.A.  ,Hipermercados Tottus S.A.  ,579715-2014.JPG,"08, 17, 18, 36, 42",579715-2014,Interpusimos recurso de apelaci¢n contra la Resoluci¢n Nø 4410-2015/DSD-INDECOPI que deneg¢ de oficio nuestra marca en dichas clases. ,,,La Sala Especializada en Propiedad Intelectual confirm¢ la Resoluci¢n de primera instancia que deneg¢ de oficio el registro de la marca.
21,Hipermercados Tottus S.A.  ,Hipermercados Tottus S.A.  ,579715A-2014.JPG,12,579715A-2014,Interpusimos recurso de apelaci¢n contra la Resoluci¢n Nø2119-2014/CSD-INDECOPI que declar¢ fundada la oposici¢n formulada por Fiat Group Automobiles S.P.A. ,,,La Sala Especializada en Propiedad Intelectual confirm¢ la Resoluci¢n de primera instancia que declar¢ fundada la oposici¢n formulada por la empresa Fiat Group Automobiles S.P.A. y deneg¢ el registro de la marca.
22,Hipermercados Tottus S.A.  ,Hipermercados Tottus S.A.  ,579715B-2014.JPG,25,579715B-2014,Interpusimos recurso de apelaci¢n contra la Resoluci¢n Nø159-2015/CSD-INDECOPI que declar¢ fundada la oposici¢n formulada por Graciela Concepci¢n Guzm n Carranza.,,,Interpusimos recurso de apelaci¢n contra la Resoluci¢n Nø159-2015/CSD-INDECOPI que declar¢ fundada la oposici¢n formulada por Mattel Inc.
23,Hipermercados Tottus S.A.  ,Hipermercados Tottus S.A.  ,579715C-2014.JPG,28,579715C-2014,La Sala Especializada en Propiedad Intelectual confirm¢ la Resoluci¢n de primera instancia que declar¢ fundada la oposici¢n formulada por Graciela Concepci¢n Guzm n Carranza y deneg¢ el registro de la marca.,,,La Sala Especializada en Propiedad Intelectual confirm¢ la Resoluci¢n de primera instancia que declar¢ fundada la oposici¢n formulada por la empresa Mattel Inc.y deneg¢ el registro de la marca.
24,Hipermercados Tottus S.A.  ,Hipermercados Tottus S.A.  ,580741-2014.JPG,"08, 12, 17, 18, 36, 42",580741-2014,Interpusimos recurso de apelaci¢n contra la Resoluci¢n Nø 4642-2015/DSD-INDECOPI que deneg¢ de oficio nuestra marca en dichas clases. ,,,La Sala Especializada en Propiedad Intelectual confirm¢ la Resoluci¢n de primera instancia que deneg¢ de oficio el registro de la marca.
25,Hipermercados Tottus S.A.  ,Hipermercados Tottus S.A.  ,580741A-2014.JPG,25,580741A-2014,Interpusimos recurso de apelaci¢n contra la Resoluci¢n Nø 341-2015/CSD-INDECOPI que declar¢ fundada la oposici¢n formulada por Graciela Concepci¢n Guzm n Carranza.,,,La Sala Especializada en Propiedad Intelectual confirm¢ la Resoluci¢n de primera instancia que declar¢ fundada la oposici¢n formulada y deneg¢ el registro de la marca.
26,Hipermercados Tottus S.A.  ,Hipermercados Tottus S.A.  ,580741B-2014.JPG,28,580741B-2014,Interpusimos recurso de apelaci¢n contra la Resoluci¢n Nø 342-2015/CSD-INDECOPI que declar¢ fundada la oposici¢n formulada por Mattel Inc.,,,La Sala Especializada en Propiedad Intelectual confirm¢ la Resoluci¢n de primera instancia que declar¢ fundada la oposici¢n formulada y deneg¢ el registro de la marca.
27,Hipermercados Tottus S.A.  ,Hipermercados Tottus S.A.  ,590291-2014.JPG,"08, 17, 18, 36, 42,",590291-2014,Se interpuso recurso de apelaci¢n contra la Resoluci¢n Nø 10756-2015/CSD-INDECOPI que declar¢ fundada la oposici¢n formulada por Graciela Concepci¢n Guzm n Carranza contra el registro de nuestra marca en la clase 25.,,, La Sala Especializada en Propiedad Intelectual confirm¢ la Resoluci¢n de primera instancia que declar¢ fundada la oposici¢n formulada y deneg¢ el registro de la marca.
28,Hipermercados Tottus S.A.  ,Hipermercados Tottus S.A.  ,590291A-2014.JPG,12,590291A-2014,Interpusimos recurso de apelaci¢n contra la Resoluci¢n Nø 1434-2015/CSD-INDECOPI que declar¢ fundada la oposici¢n formulada por Fiat Group Automobiles S.P.A. ,,,La Sala Especializada en Propiedad Intelectual confirm¢ la Resoluci¢n de primera instancia que declar¢ fundada la oposici¢n formulada por la empresa Fiat Group Automobiles S.P.A. y deneg¢ el registro de la marca.
