ID,CODCLI,CODTIT,NOMCLI,NOMTIT,MARCA,ARCHIVO,MOTIVO,MARCA,CLASE,CERTIFICADO,VENCIMIENTO,VIGENCIA,OBSERVACIONES,EXPEDIENTE
1,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,360°,,,360°,25,91130,22.08.2023 ,22.08.2023 ,,
2,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,DULCE VIÑEDO,,,DULCE VIÑEDO,33,108810,14.09.2025,14.09.2025,,
3,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,360º ADVENTURE,,,360º ADVENTURE,25,114959,31.03.2026,31.03.2026,,
4,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,360º ADVENTURE,,,360º ADVENTURE,11,107755,05.08.2025,05.08.2025,,
5,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,360º ADVENTURE,,,360º ADVENTURE,18,107854,09.08.2025,09.08.2025,,
6,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,360º ADVENTURE,,,360º ADVENTURE,22,107756,05.08.2025,05.08.2025,,
7,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,BABY CAT,,,BABY CAT,25,107852,09.08.2025,09.08.2025,,
8,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,BABY CAT,,,BABY CAT,28,107853,09.08.2025,09.08.2025,,
9,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,240792.JPG,240792.JPG,,,3,240792,29.08.2026,29.08.2026,,
10,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,240793.JPG,240793.JPG,,,3,240793,29.08.2026,29.08.2026,,
11,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,240794.JPG,240794.JPG,,,3,240794,29.08.2026,29.08.2026,,
12,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,240774.JPG,240774.JPG,,,3,240774,26.08.2026,26.08.2026,,
13,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,240795.JPG,240795.JPG,,,3,240795,29.08.2026,29.08.2026,,
14,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,108523.JPG,108523.JPG,,,3,108523,1.09.2025,1.09.2025,,
15,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,108525.JPG,108525.JPG,,,16,108525,1.09.2025,1.09.2025,,
16,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,108526.JPG,108526.JPG,,,21,108526,1.09.2025,1.09.2025,,
17,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,108524.JPG,108524.JPG,,,29,108524,1.09.2025,1.09.2025,,
18,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,108527.JPG,108527.JPG,,,30,108527,1.09.2025,1.09.2025,,
19,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,360º BIKES,,,360º BIKES,12,121465,10.10.2016,10.10.2016,,
20,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,360º REFLEX,,,360º REFLEX,25,114958,31.03.2026,31.03.2026,,
21,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,227634.JPG,227634.JPG,,,18,227634,23.01.2025,23.01.2025,,
22,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123091.JPG,123091.JPG,,,21,123091,22.11.2016,22.11.2016,,
23,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123090.JPG,123090.JPG,,,22,123090,22.11.2016,22.11.2016,,
24,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123094.JPG,123094.JPG,,,11,123094,22.11.2016,22.11.2016,,
25,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123092.JPG,123092.JPG,,,19,123092,22.11.2016,22.11.2016,,
26,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123093.JPG,123093.JPG,,,17,123093,22.11.2016,22.11.2016,,
27,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123095.JPG,123095.JPG,,,8,123095,22.11.2016,22.11.2016,,
28,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123097.JPG,123097.JPG,,,5,123097,22.11.2016,22.11.2016,,
29,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123096.JPG,123096.JPG,,,6,123096,22.11.2016,22.11.2016,,
30,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123089.JPG,123089.JPG,,,34,123089,22.11.2016,22.11.2016,,
31,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123088.JPG,123088.JPG,,,4,123088,22.11.2016,22.11.2016,,
32,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,123087.JPG,123087.JPG,,,2,123087,22.11.2016,22.11.2016,,
33,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,128568.JPG,128568.JPG,,,3,128568,27.06.2017,27.06.2017,,
34,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,116730.JPG,116730.JPG,,,29,116730,28.06.2016,28.06.2016,,
35,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,116580.JPG,116580.JPG,,,30,116580,26.06.2016,26.06.2016,,
36,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126966.JPG,126966.JPG,,,2,126966,07.05.2017,07.05.2017,,
37,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127195.JPG,127195.JPG,,,3,127195,14.05.2017,14.05.2017,,
38,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126970.JPG,126970.JPG,,,8,126970,07.05.2017,07.05.2017,,
39,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126969.JPG,126969.JPG,,,6,126969,07.05.2017,07.05.2017,,
40,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126968.JPG,126968.JPG,,,5,126968,07.05.2017,07.05.2017,,
41,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126967.JPG,126967.JPG,,,4,126967,07.05.2017,07.05.2017,,
42,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126972.JPG,126972.JPG,,,14,126972,07.05.2017,07.05.2017,,
43,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127110.JPG,127110.JPG,,,12,127110,10.05.2017,10.05.2017,,
44,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126971.JPG,126971.JPG,,,11,126971,07.05.2017,07.05.2017,,
45,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127196.JPG,127196.JPG,,,9,127196,14.05.2017,14.05.2017,,
46,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126975.JPG,126975.JPG,,,18,126975,07.05.2017,07.05.2017,,
47,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126974.JPG,126974.JPG,,,17,126974,07.05.2017,07.05.2017,,
48,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,126973.JPG,126973.JPG,,,16,126973,07.05.2017,07.05.2017,,
49,TOTTUS,TOTTUS,Hipermercados Tottus  S.A.,Hipermercados Tottus  S.A.,127198.JPG,127198.JPG,,,25,127198,14.05.2017,14.05.2017,,
