ID,CODCLI,NOMCLI,DESLOGO,MOTIVO,MARCA,CLASE,CERTIFICADO,VENCIMIENTO,VIGENCIA,OBSERVACIONES,EXPEDIENTE,ESTADO,ARCHIVO
1,TOTTUS,Hipermercados Tottus  S.A.,,,360°,25,91130,22.08.2023 ,22.08.2023 ,,,,
2,TOTTUS,Hipermercados Tottus  S.A.,,,DULCE VIÑEDO,33,108810,14.09.2025,14.09.2025,,,,
3,TOTTUS,Hipermercados Tottus  S.A.,,,360º ADVENTURE,25,114959,31.03.2026,31.03.2026,,,,
4,TOTTUS,Hipermercados Tottus  S.A.,,,360º ADVENTURE,11,107755,05.08.2025,05.08.2025,,,,
5,TOTTUS,Hipermercados Tottus  S.A.,,,360º ADVENTURE,18,107854,09.08.2025,09.08.2025,,,,
6,TOTTUS,Hipermercados Tottus  S.A.,,,360º ADVENTURE,22,107756,05.08.2025,05.08.2025,,,,
7,TOTTUS,Hipermercados Tottus  S.A.,,,BABY CAT,25,107852,09.08.2025,09.08.2025,,,,
8,TOTTUS,Hipermercados Tottus  S.A.,,,BABY CAT,28,107853,09.08.2025,09.08.2025,,,,
9,TOTTUS,Hipermercados Tottus  S.A.,,,x,3,240792,29.08.2026,29.08.2026,,,,240792.JPG
10,TOTTUS,Hipermercados Tottus  S.A.,,,x,3,240793,29.08.2026,29.08.2026,,,,240793.JPG
11,TOTTUS,Hipermercados Tottus  S.A.,,,x,3,240794,29.08.2026,29.08.2026,,,,240794.JPG
12,TOTTUS,Hipermercados Tottus  S.A.,,,x,3,240774,26.08.2026,26.08.2026,,,,240774.JPG
13,TOTTUS,Hipermercados Tottus  S.A.,,,x,3,240774,29.08.2026,29.08.2026,,,,240774.JPG
14,TOTTUS,Hipermercados Tottus  S.A.,,,x,3,108523,1.09.2025,1.09.2025,,,,108523.JPG
15,TOTTUS,Hipermercados Tottus  S.A.,,,x,16,108525,1.09.2025,1.09.2025,,,,108525.JPG
